RXCUI,HCPCS,STR,TTY
308054,J0275,Alprostadil 0.5 MG Urethral Suppository,SCD
313829,J0275,Alprostadil 0.125 MG Urethral Suppository,SCD
1723156,J0278,2 ML Amikacin 250 MG/ML Injection,SCD
1723157,J0278,Amikacin 250 MG/ML Injection,SCD
1723160,J0278,4 ML Amikacin 250 MG/ML Injection,SCD
905148,J0278,Amikacin Sulfate 50 MG/ML Injectable Solution,SCD
905154,J0278,Amikacin Sulfate 62.5 MG/ML Injectable Solution,SCD
905156,J0278,Amikacin Sulfate 5 MG/ML Injectable Solution,SCD
1724666,J0280,20 ML Aminophylline 25 MG/ML Injection,SCD
1724667,J0280,Aminophylline 25 MG/ML Injection,SCD
1724668,J0280,10 ML Aminophylline 25 MG/ML Injection,SCD
1046406,J0282,100 ML Amiodarone hydrochloride 1.5 MG/ML Injection,SCD
1663224,J0282,3 ML Amiodarone hydrochloride 50 MG/ML Injection,SCD
1663244,J0282,9 ML Amiodarone hydrochloride 50 MG/ML Injection,SCD
1663248,J0282,18 ML Amiodarone hydrochloride 50 MG/ML Injection,SCD
833532,J0282,Amiodarone hydrochloride 50 MG/ML Injectable Solution,SCD
834357,J0282,3 ML Amiodarone hydrochloride 50 MG/ML Prefilled Syringe,SCD
849876,J0282,200 ML Amiodarone hydrochloride 1.8 MG/ML Injection,SCD
239240,J0285,Amphotericin B 50 MG Injection,SCD
984078,J0287,20 ML amphotericin B lipid complex 5 MG/ML Injection,SCD
967385,J0289,amphotericin B liposomal 50 MG Injection,SCD
1721473,J0290,Ampicillin 250 MG Injection,SCD
1721474,J0290,Ampicillin 500 MG Injection,SCD
1721475,J0290,Ampicillin 1000 MG Injection,SCD
1721476,J0290,Ampicillin 2000 MG Injection,SCD
308207,J0290,Ampicillin 125 MG Injection,SCD
789980,J0290,Ampicillin 100 MG/ML Injectable Solution,SCD
1659592,J0295,Ampicillin 1000 MG / Sulbactam 500 MG Injection,SCD
1659598,J0295,Ampicillin 2000 MG / Sulbactam 1000 MG Injection,SCD
240984,J0295,Ampicillin 100 MG/ML / Sulbactam 50 MG/ML Injectable Solution,SCD
308170,J0300,Amobarbital Sodium 500 MG Injection,SCD
1594585,J0330,10 ML Succinylcholine Chloride 100 MG/ML Injection,SCD
1594589,J0330,Succinylcholine Chloride 20 MG/ML Injectable Solution,SCD
1804743,J0348,anidulafungin 50 MG Injection,SCD
1804748,J0348,anidulafungin 100 MG Injection,SCD
313823,J0350,Anistreplase 6 UNT/ML Injectable Solution,SCD
966571,J0360,1 ML Hydralazine Hydrochloride 20 MG/ML Injection,SCD
1360511,J0364,Apomorphine hydrochloride 10 MG/ML Cartridge,SCD
246020,J0365,Aprotinin 1.4 MG/ML Injectable Solution,SCD
311568,J0380,Metaraminol 10 MG/ML Injectable Solution,SCD
1116754,J0390,Chloroquine hydrochloride 50 MG/ML Injectable Solution,SCD
672356,J0400,1.3 ML aripiprazole 7.5 MG/ML Injection,SCD
1668238,J0456,Azithromycin 500 MG Injection,SCD
1190536,J0461,0.3 ML Atropine Sulfate 0.833 MG/ML Auto-Injector,SCD
1190538,J0461,0.7 ML Atropine Sulfate 0.714 MG/ML Auto-Injector,SCD
1190540,J0461,0.7 ML Atropine Sulfate 1.43 MG/ML Auto-Injector,SCD
1190542,J0461,0.7 ML Atropine Sulfate 2.86 MG/ML Auto-Injector,SCD
1190546,J0461,10 ML Atropine Sulfate 0.1 MG/ML Prefilled Syringe,SCD
1190551,J0461,5 ML Atropine Sulfate 0.05 MG/ML Prefilled Syringe,SCD
1190552,J0461,5 ML Atropine Sulfate 0.1 MG/ML Prefilled Syringe,SCD
1190776,J0461,Atropine Sulfate 0.4 MG/ML Injectable Solution,SCD
1190779,J0461,Atropine Sulfate 0.5 MG/ML Injectable Solution,SCD
1190795,J0461,1 ML Atropine Sulfate 1 MG/ML Injection,SCD
1359894,J0461,Atropine Sulfate 0.1 MG/ML Prefilled Syringe,SCD
1666781,J0461,1 ML Atropine Sulfate 0.4 MG/ML Injection,SCD
1668032,J0461,Atropine Sulfate 0.8 MG/ML Injection,SCD
309915,J0470,3 ML Dimercaprol 100 MG/ML Injection,SCD
1300890,J0475,20 ML Baclofen 1 MG/ML Injection,SCD
1666613,J0475,20 ML Baclofen 2 MG/ML Injection,SCD
1666616,J0475,Baclofen 2 MG/ML Injection,SCD
308517,J0475,20 ML Baclofen 0.5 MG/ML Injection,SCD
308516,J0476,1 ML Baclofen 0.05 MG/ML Injection,SCD
1656643,J0480,basiliximab 10 MG Injection,SCD
1656648,J0480,basiliximab 20 MG Injection,SCD
1112976,J0485,belatacept 250 MG Injection,SCD
1656395,J0490,belimumab 120 MG Injection,SCD
1656400,J0490,belimumab 400 MG Injection,SCD
991065,J0500,2 ML Dicyclomine Hydrochloride 10 MG/ML Injection,SCD
885205,J0515,2 ML benztropine mesylate 1 MG/ML Injection,SCD
1989104,J0517,1 ML benralizumab 30 MG/ML Prefilled Syringe,SCD
857249,J0520,Bethanechol Chloride 5 MG/ML Injectable Solution,SCD
623677,J0558,penicillin G benzathine 300000 UNT/ML / penicillin G procaine 300000 UNT/ML Injectable Suspension,SCD
623695,J0558,penicillin G benzathine 150000 UNT/ML / penicillin G procaine 150000 UNT/ML Injectable Suspension,SCD
836306,J0558,2 ML penicillin G benzathine 450000 UNT/ML / penicillin G procaine 150000 UNT/ML Prefilled Syringe,SCD
731567,J0561,2 ML penicillin G benzathine 600000 UNT/ML Prefilled Syringe,SCD
731570,J0561,4 ML penicillin G benzathine 600000 UNT/ML Prefilled Syringe,SCD
731572,J0561,penicillin G benzathine 600000 UNT/ML Injectable Suspension,SCD
1922453,J0567,5 ML cerliponase alfa 30 MG/ML Injection,SCD
1797650,J0570,Buprenorphine 74.2 MG Drug Implant,SCD
351264,J0571,Buprenorphine 2 MG Sublingual Tablet,SCD
351265,J0571,Buprenorphine 8 MG Sublingual Tablet,SCD
1010600,J0572,Buprenorphine 2 MG / Naloxone 0.5 MG Oral Strip,SCD
1431076,J0572,Buprenorphine 1.4 MG / Naloxone 0.36 MG Sublingual Tablet,SCD
1542390,J0572,Buprenorphine 2.1 MG / Naloxone 0.3 MG Buccal Film,SCD
1666338,J0572,Buprenorphine 2.9 MG / Naloxone 0.71 MG Sublingual Tablet,SCD
1864412,J0572,Buprenorphine 0.7 MG / Naloxone 0.18 MG Sublingual Tablet,SCD
351266,J0572,Buprenorphine 2 MG / Naloxone 0.5 MG Sublingual Tablet,SCD
1307056,J0573,Buprenorphine 4 MG / Naloxone 1 MG Oral Strip,SCD
1431102,J0573,Buprenorphine 5.7 MG / Naloxone 1.4 MG Sublingual Tablet,SCD
1544851,J0573,Buprenorphine 4.2 MG / Naloxone 0.7 MG Buccal Film,SCD
1010604,J0574,Buprenorphine 8 MG / Naloxone 2 MG Oral Strip,SCD
1544854,J0574,Buprenorphine 6.3 MG / Naloxone 1 MG Buccal Film,SCD
1597573,J0574,Buprenorphine 8.6 MG / Naloxone 2.1 MG Sublingual Tablet,SCD
351267,J0574,Buprenorphine 8 MG / Naloxone 2 MG Sublingual Tablet,SCD
1307061,J0575,Buprenorphine 12 MG / Naloxone 3 MG Oral Strip,SCD
1597568,J0575,Buprenorphine 11.4 MG / Naloxone 2.9 MG Sublingual Tablet,SCD
308769,J0583,bivalirudin 250 MG Injection,SCD
2043859,J0584,1 ML burosumab-twza 10 MG/ML Injection,SCD
2043868,J0584,1 ML burosumab-twza 20 MG/ML Injection,SCD
2043876,J0584,1 ML burosumab-twza 30 MG/ML Injection,SCD
1726293,J0585,onabotulinumtoxinA 50 UNT Injection,SCD
897366,J0585,onabotulinumtoxinA 200 UNT Injection,SCD
1789950,J0586,abobotulinumtoxinA 500 UNT Injection,SCD
1789956,J0586,abobotulinumtoxinA 300 UNT Injection,SCD
1736647,J0587,1 ML rimabotulinumtoxinB 5000 UNT/ML Injection,SCD
1000107,J0588,incobotulinumtoxinA 200 UNT Injection,SCD
1009456,J0588,incobotulinumtoxinA 100 UNT Injection,SCD
1009459,J0588,incobotulinumtoxinA 50 UNT Injection,SCD
1655032,J0592,1 ML Buprenorphine 0.3 MG/ML Cartridge,SCD
238129,J0592,1 ML Buprenorphine 0.3 MG/ML Injection,SCD
253113,J0594,10 ML Busulfan 6 MG/ML Injection,SCD
1728351,J0595,1 ML Butorphanol Tartrate 2 MG/ML Injection,SCD
1728352,J0595,Butorphanol Tartrate 2 MG/ML Injection,SCD
1728355,J0595,2 ML Butorphanol Tartrate 2 MG/ML Injection,SCD
886622,J0595,Butorphanol Tartrate 2 MG/ML Injectable Solution,SCD
886627,J0595,1 ML Butorphanol Tartrate 1 MG/ML Injection,SCD
1599836,J0596,C1 esterase inhibitor (recombinant) 2100 UNT Injection,SCD
1729336,J0597,C1 esterase inhibitor (human) 500 UNT Injection,SCD
1729336,J0598,C1 esterase inhibitor (human) 500 UNT Injection,SCD
1926818,J0599,C1 esterase inhibitor (human) 2000 UNT Injection,SCD
1926825,J0599,C1 esterase inhibitor (human) 3000 UNT Injection,SCD
432400,J0604,cinacalcet 90 MG Oral Tablet,SCD
432401,J0604,cinacalcet 60 MG Oral Tablet,SCD
432402,J0604,cinacalcet 30 MG Oral Tablet,SCD
1876133,J0606,etelcalcetide 5 MG/ML Injection,SCD
1668248,J0610,50 ML Calcium Gluconate 100 MG/ML Injection,SCD
1668250,J0610,10 ML Calcium Gluconate 100 MG/ML Injection,SCD
197435,J0610,Calcium Gluconate 100 MG/ML Injectable Solution,SCD
308925,J0620,Calcium Glycerophosphate 5 MG/ML / calcium lactate 5 MG/ML Injectable Solution,SCD
308866,J0630,salmon calcitonin 200 UNT/ML Injectable Solution,SCD
308869,J0636,1 ML Calcitriol 0.001 MG/ML Injection,SCD
308870,J0636,1 ML Calcitriol 0.002 MG/ML Injection,SCD
828539,J0637,Caspofungin acetate 70 MG Injection,SCD
828755,J0637,Caspofungin acetate 50 MG Injection,SCD
1864324,J0638,1 ML canakinumab 150 MG/ML Injection,SCD
853494,J0638,canakinumab 180 MG Injection,SCD
1803930,J0640,Leucovorin 50 MG Injection,SCD
1803932,J0640,Leucovorin 100 MG Injection,SCD
1803937,J0640,Leucovorin 200 MG Injection,SCD
2055036,J0640,Leucovorin 500 MG Injection,SCD
2099993,J0640,10 ML Leucovorin 10 MG/ML Injection,SCD
2099994,J0640,Leucovorin 10 MG/ML Injection,SCD
2104714,J0640,50 ML Leucovorin 10 MG/ML Injection,SCD
237788,J0640,Leucovorin 350 MG Injection,SCD
311282,J0640,Leucovorin 10 MG/ML Injectable Solution,SCD
1720760,J0641,levoleucovorin 50 MG Injection,SCD
1720765,J0641,17.5 ML levoleucovorin 10 MG/ML Injection,SCD
1720771,J0641,levoleucovorin 10 MG/ML Injection,SCD
1720773,J0641,25 ML levoleucovorin 10 MG/ML Injection,SCD
1858561,J0641,levoleucovorin 175 MG Injection,SCD
2106375,J0641,levoleucovorin 300 MG Injection,SCD
1012722,J0670,Mepivacaine Hydrochloride 10 MG/ML Injectable Solution,SCD
1012731,J0670,30 ML Mepivacaine Hydrochloride 15 MG/ML Injection,SCD
1012737,J0670,Mepivacaine Hydrochloride 20 MG/ML Injectable Solution,SCD
1305263,J0670,1.7 ML Mepivacaine Hydrochloride 30 MG/ML Cartridge,SCD
1359964,J0670,Mepivacaine Hydrochloride 30 MG/ML Cartridge,SCD
1866503,J0670,30 ML Mepivacaine Hydrochloride 10 MG/ML Injection,SCD
1866524,J0670,20 ML Mepivacaine Hydrochloride 20 MG/ML Injection,SCD
1665050,J0690,Cefazolin 1000 MG Injection,SCD
1665052,J0690,Cefazolin 500 MG Injection,SCD
1665060,J0690,Cefazolin 2000 MG Injection,SCD
313920,J0690,Cefazolin 200 MG/ML Injectable Solution,SCD
1665088,J0692,cefepime 2000 MG Injection,SCD
1665093,J0692,cefepime 1000 MG Injection,SCD
1665097,J0692,cefepime 500 MG Injection,SCD
1665102,J0694,Cefoxitin 1000 MG Injection,SCD
1665107,J0694,Cefoxitin 2000 MG Injection,SCD
309072,J0694,Cefoxitin 200 MG/ML Injectable Solution,SCD
1597615,J0695,ceftolozane 1000 MG / tazobactam 500 MG Injection,SCD
1665005,J0696,Ceftriaxone 500 MG Injection,SCD
1665021,J0696,Ceftriaxone 1000 MG Injection,SCD
1665046,J0696,Ceftriaxone 2000 MG Injection,SCD
309090,J0696,Ceftriaxone 100 MG/ML Injectable Solution,SCD
309092,J0696,Ceftriaxone 250 MG Injection,SCD
1665444,J0697,Cefuroxime 1500 MG Injection,SCD
1665449,J0697,Cefuroxime 750 MG Injection,SCD
309101,J0697,Cefuroxime 95 MG/ML Injectable Solution,SCD
1656313,J0698,Cefotaxime 1000 MG Injection,SCD
1656318,J0698,Cefotaxime 2000 MG Injection,SCD
309065,J0698,Cefotaxime 200 MG/ML Injectable Solution,SCD
309068,J0698,Cefotaxime 500 MG Injection,SCD
578803,J0702,Betamethasone 3 MG/ML / Betamethasone acetate 3 MG/ML Injectable Suspension,SCD
849931,J0706,3 ML caffeine citrate 20 MG/ML Injection,SCD
313899,J0710,Cephapirin 417 MG/ML Injectable Solution,SCD
1040008,J0712,ceftaroline fosamil 400 MG Injection,SCD
1040014,J0712,ceftaroline fosamil 600 MG Injection,SCD
1659278,J0713,Ceftazidime 500 MG Injection,SCD
1659283,J0713,Ceftazidime 1000 MG Injection,SCD
1659287,J0713,Ceftazidime 2000 MG Injection,SCD
242800,J0713,Ceftazidime 200 MG/ML Injectable Solution,SCD
1603840,J0714,avibactam 500 MG / Ceftazidime 2000 MG Injection,SCD
309088,J0715,Ceftizoxime 270 MG/ML Injectable Solution,SCD
317075,J0715,Ceftizoxime 286 MG/ML Injectable Solution,SCD
342957,J0715,Ceftizoxime 280 MG/ML Injectable Solution,SCD
342958,J0715,Ceftizoxime 20 MG/ML Injectable Solution,SCD
342959,J0715,Ceftizoxime 40 MG/ML Injectable Solution,SCD
849597,J0717,1 ML certolizumab pegol 200 MG/ML Prefilled Syringe,SCD
239200,J0720,Chloramphenicol 100 MG/ML Injectable Solution,SCD
562828,J0725,Chorionic Gonadotropin 500 UNT/ML Injectable Solution,SCD
754026,J0725,Chorionic Gonadotropin 2000 UNT/ML Injectable Solution,SCD
896854,J0725,Chorionic Gonadotropin 10000 UNT/ML Injectable Solution,SCD
884221,J0735,10 ML Clonidine Hydrochloride 0.1 MG/ML Injection,SCD
884225,J0735,10 ML Clonidine Hydrochloride 0.5 MG/ML Injection,SCD
199388,J0740,5 ML Cidofovir 75 MG/ML Injection,SCD
1726204,J0743,Cilastatin 250 MG / Imipenem 250 MG Injection,SCD
1726214,J0743,Cilastatin 500 MG / Imipenem 500 MG Injection,SCD
1665210,J0744,100 ML Ciprofloxacin 2 MG/ML Injection,SCD
1665212,J0744,200 ML Ciprofloxacin 2 MG/ML Injection,SCD
1665227,J0744,20 ML Ciprofloxacin 10 MG/ML Injection,SCD
1665228,J0744,Ciprofloxacin 10 MG/ML Injection,SCD
1665229,J0744,40 ML Ciprofloxacin 10 MG/ML Injection,SCD
997173,J0745,Codeine Phosphate 15 MG/ML Injectable Solution,SCD
997289,J0745,Codeine Phosphate 30 MG/ML Injectable Solution,SCD
997303,J0745,Codeine Phosphate 60 MG/ML Injectable Solution,SCD
241773,J0760,Colchicine 0.5 MG/ML Injectable Solution,SCD
1117522,J0770,Colistin 75 MG/ML Injectable Solution,SCD
898495,J0775,collagenase Clostridium histolyticum 0.9 MG Injection,SCD
2102949,J0780,Prochlorperazine 5 MG/ML Injectable Solution,SCD
314192,J0780,2 ML Prochlorperazine 5 MG/ML Injection,SCD
309538,J0800,Corticotropin 40 UNT/ML Injectable Solution,SCD
309541,J0800,Corticotropin 80 UNT/ML Injectable Solution,SCD
885192,J0840,Agkistrodon piscivorus antivenin 780 UNT / Crotalus adamanteus antivenin 420 UNT / Crotalus atrox antivenin 1270 UNT / Crotalus scutulatus antivenin 5570 UNT Injection,SCD
204528,J0850,"50 ML cytomegalovirus immune globulin, human 50 MG/ML Injection",SCD
1539243,J0875,dalbavancin 500 MG Injection,SCD
1996246,J0878,Daptomycin 350 MG Injection,SCD
403920,J0878,Daptomycin 500 MG Injection,SCD
1605171,J0881,0.4 ML darbepoetin alfa 0.025 MG/ML Prefilled Syringe,SCD
1654949,J0881,0.75 ML darbepoetin alfa 0.2 MG/ML Injection,SCD
1654954,J0881,1 ML darbepoetin alfa 0.2 MG/ML Injection,SCD
349273,J0881,1 ML darbepoetin alfa 0.025 MG/ML Injection,SCD
349274,J0881,1 ML darbepoetin alfa 0.04 MG/ML Injection,SCD
349275,J0881,1 ML darbepoetin alfa 0.06 MG/ML Injection,SCD
349276,J0881,1 ML darbepoetin alfa 0.1 MG/ML Injection,SCD
351247,J0881,1 ML darbepoetin alfa 0.3 MG/ML Injection,SCD
730044,J0881,0.5 ML darbepoetin alfa 0.2 MG/ML Prefilled Syringe,SCD
731167,J0881,0.3 ML darbepoetin alfa 0.2 MG/ML Prefilled Syringe,SCD
731171,J0881,0.3 ML darbepoetin alfa 0.5 MG/ML Prefilled Syringe,SCD
731174,J0881,0.4 ML darbepoetin alfa 0.5 MG/ML Prefilled Syringe,SCD
731176,J0881,0.42 ML darbepoetin alfa 0.06 MG/ML Prefilled Syringe,SCD
731179,J0881,0.6 ML darbepoetin alfa 0.5 MG/ML Prefilled Syringe,SCD
731181,J0881,0.4 ML darbepoetin alfa 0.1 MG/ML Prefilled Syringe,SCD
731184,J0881,1 ML darbepoetin alfa 0.5 MG/ML Prefilled Syringe,SCD
1804735,J0883,50 ML argatroban 1 MG/ML Injection,SCD
1804736,J0883,argatroban 1 MG/ML Injection,SCD
1804737,J0883,125 ML argatroban 1 MG/ML Injection,SCD
308351,J0883,2.5 ML argatroban 100 MG/ML Injection,SCD
1721684,J0885,1 ML Epoetin Alfa 10000 UNT/ML Injection,SCD
239998,J0885,1 ML Epoetin Alfa 2000 UNT/ML Injection,SCD
239999,J0885,1 ML Epoetin Alfa 4000 UNT/ML Injection,SCD
240000,J0885,Epoetin Alfa 10000 UNT/ML Injectable Solution,SCD
240377,J0885,1 ML Epoetin Alfa 3000 UNT/ML Injection,SCD
241999,J0885,Epoetin Alfa 20000 UNT/ML Injectable Solution,SCD
242706,J0885,1 ML Epoetin Alfa 40000 UNT/ML Injection,SCD
1792483,J0887,0.3 ML Methoxy polyethylene glycol-epoetin beta 0.1 MG/ML Prefilled Syringe,SCD
753405,J0887,Methoxy polyethylene glycol-epoetin beta 0.67 MG/ML Injectable Solution,SCD
758159,J0887,0.3 ML Methoxy polyethylene glycol-epoetin beta 0.333 MG/ML Prefilled Syringe,SCD
758160,J0887,0.3 ML Methoxy polyethylene glycol-epoetin beta 0.5 MG/ML Prefilled Syringe,SCD
758169,J0887,0.3 ML Methoxy polyethylene glycol-epoetin beta 0.167 MG/ML Prefilled Syringe,SCD
804171,J0887,0.3 ML Methoxy polyethylene glycol-epoetin beta 0.25 MG/ML Prefilled Syringe,SCD
1248802,J0890,0.5 ML peginesatide 2 MG/ML Prefilled Syringe,SCD
1248810,J0890,peginesatide 10 MG/ML Injectable Solution,SCD
1248818,J0890,0.5 ML peginesatide 4 MG/ML Prefilled Syringe,SCD
1248824,J0890,0.5 ML peginesatide 6 MG/ML Prefilled Syringe,SCD
1248830,J0890,0.5 ML peginesatide 8 MG/ML Prefilled Syringe,SCD
1248832,J0890,0.5 ML peginesatide 10 MG/ML Prefilled Syringe,SCD
1248838,J0890,0.5 ML peginesatide 12 MG/ML Prefilled Syringe,SCD
636631,J0894,decitabine 50 MG Injection,SCD
1731345,J0895,deferoxamine mesylate 2000 MG Injection,SCD
1731350,J0895,deferoxamine mesylate 500 MG Injection,SCD
1046398,J0897,1.7 ML denosumab 70 MG/ML Injection,SCD
993452,J0897,1 ML denosumab 60 MG/ML Prefilled Syringe,SCD
1010082,J0900,estradiol valerate 4 MG/ML / testosterone enanthate 90 MG/ML Injectable Solution,SCD
1362768,J0945,Brompheniramine Maleate 10 MG/ML Injectable Solution,SCD
310187,J1000,estradiol cypionate 5 MG/ML Injectable Solution,SCD
1358510,J1020,methylprednisolone acetate 20 MG/ML Injectable Suspension,SCD
1358610,J1030,methylprednisolone acetate 40 MG/ML Injectable Suspension,SCD
1743779,J1030,1 ML methylprednisolone acetate 40 MG/ML Injection,SCD
1358617,J1040,methylprednisolone acetate 80 MG/ML Injectable Suspension,SCD
1743855,J1040,1 ML methylprednisolone acetate 80 MG/ML Injection,SCD
1000126,J1050,1 ML medroxyprogesterone acetate 150 MG/ML Injection,SCD
1000131,J1050,medroxyprogesterone acetate 400 MG/ML Injectable Suspension,SCD
1000153,J1050,1 ML medroxyprogesterone acetate 150 MG/ML Prefilled Syringe,SCD
1000374,J1050,medroxyprogesterone acetate 160 MG/ML Injectable Suspension,SCD
1010047,J1060,estradiol cypionate 2 MG/ML / testosterone cypionate 50 MG/ML Injectable Solution,SCD
2047882,J1071,1 ML testosterone cypionate 200 MG/ML Injection,SCD
835829,J1071,testosterone cypionate 100 MG/ML Injectable Solution,SCD
835840,J1071,testosterone cypionate 200 MG/ML Injectable Solution,SCD
1374372,J1094,dexamethasone acetate 8 MG/ML Injectable Suspension,SCD
1374389,J1094,dexamethasone acetate 16 MG/ML Injectable Suspension,SCD
1116927,J1100,Dexamethasone phosphate 4 MG/ML Injectable Solution,SCD
1376068,J1100,Dexamethasone sodium phosphate 24 MG/ML Injectable Solution,SCD
1812079,J1100,1 ML Dexamethasone phosphate 10 MG/ML Injection,SCD
1812095,J1100,1 ML Dexamethasone phosphate 4 MG/ML Prefilled Syringe,SCD
1812194,J1100,1 ML Dexamethasone phosphate 4 MG/ML Injection,SCD
309696,J1100,Dexamethasone phosphate 10 MG/ML Injectable Solution,SCD
861672,J1110,1 ML Dihydroergotamine Mesylate 1 MG/ML Injection,SCD
307702,J1120,Acetazolamide 500 MG Injection,SCD
1599787,J1130,1 ML Diclofenac Sodium 37.5 MG/ML Injection,SCD
104208,J1160,2 ML Digoxin 0.25 MG/ML Injection,SCD
204504,J1160,1 ML Digoxin 0.1 MG/ML Injection,SCD
349326,J1162,ovine digoxin immune fab 40 MG Injection,SCD
1670351,J1165,2 ML Phenytoin sodium 50 MG/ML Injection,SCD
1670352,J1165,Phenytoin sodium 50 MG/ML Injection,SCD
1670353,J1165,5 ML Phenytoin sodium 50 MG/ML Injection,SCD
1433251,J1170,0.5 ML Hydromorphone Hydrochloride 1 MG/ML Prefilled Syringe,SCD
1724276,J1170,1 ML Hydromorphone Hydrochloride 2 MG/ML Injection,SCD
1724338,J1170,1 ML Hydromorphone Hydrochloride 10 MG/ML Injection,SCD
1724339,J1170,Hydromorphone Hydrochloride 10 MG/ML Injection,SCD
1724340,J1170,5 ML Hydromorphone Hydrochloride 10 MG/ML Injection,SCD
1724341,J1170,50 ML Hydromorphone Hydrochloride 10 MG/ML Injection,SCD
1724352,J1170,Hydromorphone Hydrochloride 250 MG Injection,SCD
1724383,J1170,1 ML Hydromorphone Hydrochloride 1 MG/ML Cartridge,SCD
1724644,J1170,1 ML Hydromorphone Hydrochloride 2 MG/ML Cartridge,SCD
897653,J1170,1 ML Hydromorphone Hydrochloride 1 MG/ML Injection,SCD
897745,J1170,Hydromorphone Hydrochloride 2 MG/ML Injectable Solution,SCD
897753,J1170,1 ML Hydromorphone Hydrochloride 4 MG/ML Injection,SCD
897756,J1170,1 ML Hydromorphone Hydrochloride 1 MG/ML Prefilled Syringe,SCD
897757,J1170,1 ML Hydromorphone Hydrochloride 2 MG/ML Prefilled Syringe,SCD
897758,J1170,1 ML Hydromorphone Hydrochloride 4 MG/ML Cartridge,SCD
